id_reproducao,id_usuario,id_musica,data_reproducao,hora_reproducao,duracao,tipo_reproducao
replay_0,9979qepe31nkz8uaknawmtpmd,7gdgtul6Duxe04E6sq0nxx,2024-10-26,14:18:47.146113,175826,normal
replay_1,9979qepe31nkz8uaknawmtpmd,7pdG3g13RKtrCmKwnSDeO4,2024-10-26,14:18:47.146113,230680,normal
replay_2,9979qepe31nkz8uaknawmtpmd,2RZWiishrE4Tygv9R7zuZe,2024-10-26,14:18:47.146113,160518,normal
replay_3,9979qepe31nkz8uaknawmtpmd,3Hx7RXqCS7Kzjy2ot2q1Gk,2024-10-26,14:18:47.146113,246306,normal
replay_4,9979qepe31nkz8uaknawmtpmd,6JY1IdkZGeIcPegKxjSKeb,2024-10-26,14:18:47.146113,188960,normal
replay_5,9979qepe31nkz8uaknawmtpmd,3jjsRKEsF42ccXf8kWR3nu,2024-10-26,14:18:47.146113,128198,normal
replay_6,9979qepe31nkz8uaknawmtpmd,2hKYtHbwYOSjvYQhVdUpdQ,2024-10-26,14:18:47.146113,164571,normal
replay_7,9979qepe31nkz8uaknawmtpmd,42qNWdLKCI41S4uzfamhFM,2024-10-26,14:18:47.146113,203600,normal
replay_8,9979qepe31nkz8uaknawmtpmd,3qhlB30KknSejmIvZZLjOD,2024-10-26,14:18:47.146113,159245,normal
replay_9,9979qepe31nkz8uaknawmtpmd,6fNaHkjAxP6rI2sZhT7QJn,2024-10-26,14:18:47.146113,180000,normal
replay_10,9979qepe31nkz8uaknawmtpmd,4MAv7MqIlcaTBHGiUXIWiw,2024-10-26,14:18:47.146113,254500,normal
replay_11,9979qepe31nkz8uaknawmtpmd,2DFi8rwHcVkTTgu7PULhtI,2024-10-26,14:18:47.146113,206393,normal
replay_12,9979qepe31nkz8uaknawmtpmd,4MXE6VCvTsQitHWrAxj7Kg,2024-10-26,14:18:47.146113,243529,normal
replay_13,9979qepe31nkz8uaknawmtpmd,5Z0UnEtpLDQyYlWwgi8m9C,2024-10-26,14:18:47.146113,251424,normal
replay_14,9979qepe31nkz8uaknawmtpmd,2xOxJOUCQRc4nMIwwHAKI7,2024-10-26,14:18:47.146113,180848,normal
replay_15,9979qepe31nkz8uaknawmtpmd,2GxrNKugF82CnoRFbQfzPf,2024-10-26,14:18:47.146113,142514,normal
replay_16,9979qepe31nkz8uaknawmtpmd,1LPGwuFgIzbJoShfDdw7MY,2024-10-26,14:18:47.146113,230693,normal
replay_17,9979qepe31nkz8uaknawmtpmd,2GiJYvgVaD2HtM8GqD9EgQ,2024-10-26,14:18:47.146113,218106,normal
replay_18,9979qepe31nkz8uaknawmtpmd,7f0vVL3xi4i78Rv5Ptn2s1,2024-10-26,14:18:47.146113,245960,normal
replay_19,9979qepe31nkz8uaknawmtpmd,74fpNVAJrKGQuqHETi4WSt,2024-10-26,14:18:47.146113,198907,normal
replay_20,9979qepe31nkz8uaknawmtpmd,28IEbk5a7twNTbUEvWslUb,2024-10-26,14:18:47.146113,208106,normal
replay_21,9979qepe31nkz8uaknawmtpmd,6ic8OlLUNEATToEFU3xmaH,2024-10-26,14:18:47.146113,251240,normal
replay_22,9979qepe31nkz8uaknawmtpmd,56sk7jBpZV0CD31G9hEU3b,2024-10-26,14:18:47.146113,231400,normal
replay_23,9979qepe31nkz8uaknawmtpmd,1NKUaH2zobKBC8LIcUH0p0,2024-10-26,14:18:47.146113,309280,normal
replay_24,9979qepe31nkz8uaknawmtpmd,2K7xn816oNHJZ0aVqdQsha,2024-10-26,14:18:47.146113,206280,normal
replay_25,9979qepe31nkz8uaknawmtpmd,7AYEHXXUs2i4JoDp3mgP8I,2024-10-26,14:18:47.146113,240985,normal
replay_26,9979qepe31nkz8uaknawmtpmd,20vZII9Yu52czI9Fk4p39r,2024-10-26,14:18:47.146113,233266,normal
replay_27,9979qepe31nkz8uaknawmtpmd,3SFXsFpeGmBTtQvKiwYMDA,2024-10-26,14:18:47.146113,188666,normal
replay_28,9979qepe31nkz8uaknawmtpmd,1N7ttyvcX1l3vX2EBXTThI,2024-10-26,14:18:47.146113,164597,normal
replay_29,9979qepe31nkz8uaknawmtpmd,1R4g4jxHARgfesI2g9H59g,2024-10-26,14:18:47.146113,161798,normal
replay_30,9979qepe31nkz8uaknawmtpmd,6AkH5FrS2GJjrdtXY5dk1G,2024-10-26,14:18:47.146113,201557,normal
replay_31,9979qepe31nkz8uaknawmtpmd,6unndO70DvZfnXYcYQMyQJ,2024-10-26,14:18:47.146113,160166,normal
replay_32,9979qepe31nkz8uaknawmtpmd,7M6KOBCfPzWqbkiaXnm7bd,2024-10-26,14:18:47.146113,170575,normal
replay_33,9979qepe31nkz8uaknawmtpmd,3MjrueDQKVr6xDDseZwhEd,2024-10-26,14:18:47.146113,183602,normal
replay_34,9979qepe31nkz8uaknawmtpmd,5iu3vj88qin4ablWHrezLG,2024-10-26,14:18:47.146113,156923,normal
replay_35,9979qepe31nkz8uaknawmtpmd,5lN1EH25gdiqT1SFALMAq1,2024-10-26,14:18:47.146113,224333,normal
replay_36,9979qepe31nkz8uaknawmtpmd,0dMYPDqcI4ca4cjqlmp9mE,2024-10-26,14:18:47.146113,227213,normal
replay_37,9979qepe31nkz8uaknawmtpmd,0wzRcekWyVCSyPtlPOeJau,2024-10-26,14:18:47.146113,187146,normal
replay_38,9979qepe31nkz8uaknawmtpmd,4wzt5Rrk3W98pHXAqutuJw,2024-10-26,14:18:47.146113,311291,normal
replay_39,9979qepe31nkz8uaknawmtpmd,5HPj0yTUFEFNia8SWgjq46,2024-10-26,14:18:47.146113,341280,normal
replay_40,9979qepe31nkz8uaknawmtpmd,0pjCkLjbgSLn5c0Ilwuv8z,2024-10-26,14:18:47.146113,211520,normal
replay_41,9979qepe31nkz8uaknawmtpmd,5Ohxk2dO5COHF1krpoPigN,2024-10-26,14:18:47.146113,340706,normal
replay_42,9979qepe31nkz8uaknawmtpmd,3d9DChrdc6BOeFsbrZ3Is0,2024-10-26,14:18:47.146113,264306,normal
replay_43,9979qepe31nkz8uaknawmtpmd,6GyFP1nfCDB8lbD2bG0Hq9,2024-10-26,14:18:47.146113,243960,normal
replay_44,9979qepe31nkz8uaknawmtpmd,7f9I5WdyXm5q1XqnSYgQZb,2024-10-26,14:18:47.146113,172866,normal
replay_45,9979qepe31nkz8uaknawmtpmd,01v7kv0RTVaX4Vs8GcOGOP,2024-10-26,14:18:47.146113,326983,normal
replay_46,9979qepe31nkz8uaknawmtpmd,70wYA8oYHoMzhRRkARoMhU,2024-10-26,14:18:47.146113,220426,normal
