nome_playlist,total_musicas,id_playlist
Mix Arcade Fire,50,37i9dQZF1EIVaFbtaBqeTM
"Amor I Love You / Citação: Trecho da Obra Intitulada ""Primo Basilio"" De Eça de Queiroz Declamado por Arnaldo Antunes",1,7cBR7SYfcAuRrUuJGPwLG5
Pop 70/80/90/2000,37,2UMihsgllNwHSQOG3DPOKT
Rildi ,127,0lk0yTLNv9WIxv4vCXXS17
Metric Radio,50,37i9dQZF1E4zMtgqD40a8u
Academia,1,0PGWNo3QapRA17BVdcOKEq
Vibe Old,2,3iiOVSnXseIxUHRVPaFPJe
my life is a movie,100,37i9dQZF1DX4OzrY981I1W
Guilherme + Sarah,50,37i9dQZF1EJyXZEfj001kH
Discover Weekly,30,37i9dQZEVXcRywU7m4Bpsv
