nome_artista,generos,popularidade,seguidores
Muse,"alternative rock, modern rock, permanent wave, rock",77,7983937
Arcade Fire,"alternative rock, baroque pop, canadian indie, canadian indie rock, chamber pop, indie rock, indietronica, modern rock, permanent wave, quebec indie, rock",65,2320887
Portugal. The Man,"indie rock, indietronica, modern alternative rock, modern rock",68,1461286
Three Days Grace,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock",78,6358669
BØRNS,"indie poptimism, modern alternative rock, modern rock, pov: indie",67,1293651
The Technicolors,phoenix indie,47,78591
Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",88,27013049
Queens of the Stone Age,"alternative metal, alternative rock, grunge, modern rock, palm desert scene, rock, stoner metal, stoner rock",71,3602232
Kings of Leon,"modern rock, rock",77,5486507
Tame Impala,"australian psych, modern rock, neo-psychedelic, rock",81,8239769
The Strokes,"alternative rock, garage rock, modern rock, permanent wave, rock",78,5922527
Lorde,"art pop, metropopolis, nz pop, pop",78,10069214
Franz Ferdinand,"alternative rock, dance rock, indie rock, modern rock, rock, scottish rock",70,2716751
The Offspring,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk",79,5869664
Silversun Pickups,"alternative rock, indie rock, la indie, modern alternative rock, modern rock",55,654222
Nothing But Thieves,"alternative pop rock, modern alternative rock, modern rock",68,1228367
Unknown Mortal Orchestra,"art pop, indie rock, indie soul, indietronica, kiwi rock, neo-psychedelic, portland hip hop, psychedelic pop",60,869784
Phantogram,"indietronica, metropopolis, neo-synthpop",67,861913
Interpol,"alternative dance, alternative rock, indie rock, indietronica, modern rock, rock",64,1744710
Grizzly Bear,"art pop, baroque pop, brooklyn indie, indie rock, neo-synthpop, new weird america",56,848731
Linkin Park,"alternative metal, nu metal, post-grunge, rap metal, rock",92,27248045
Coldplay,"permanent wave, pop",92,54216386
AWOLNATION,"la indie, modern alternative rock, modern rock, rock, stomp pop",63,2076947
Twenty One Pilots,"modern rock, pop, pov: indie, rock",84,24765128
Legião Urbana,"mpb, rock brasiliense, rock nacional brasileiro",70,6485835
Red Hot Chili Peppers,"alternative rock, funk metal, funk rock, permanent wave, rock",84,21486412
The Killers,"alternative rock, dance rock, modern rock, permanent wave, rock",79,7516520
Imagine Dragons,"modern rock, pop, rock",89,54965455
Seafret,folk-pop,69,992364
The Black Keys,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock",74,4044512
Clairo,"bedroom pop, indie pop, pov: indie",82,5388889
Cavetown,"bedroom pop, indie pop, pov: indie",71,4243790
Lofi Fruits Music,"lo-fi cover, lo-fi product",69,952924
System Of A Down,"alternative metal, nu metal, rap metal, rock",82,11521685
alt-J,"indie rock, indietronica, modern alternative rock, modern rock, rock, shimmer pop",71,3321885
Marisa Monte,mpb,67,2260354
Phoenix,"alternative dance, indie rock, modern rock, new rave, rock independant francais, shimmer pop",69,1943817
Foo Fighters,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",78,12088201
Michigander,michigan indie,46,52712
Cape Cub,north east england indie,28,13471
Deftones,"alternative metal, nu metal, rap metal, rock, sacramento indie",81,6095337
Cage The Elephant,"modern alternative rock, modern rock, pov: indie, punk blues, rock",76,3891698
The Neighbourhood,"modern alternative rock, modern rock, pop",86,18252301
Slipknot,"alternative metal, nu metal, rap metal, rock",81,11987198
Highly Suspect,"modern alternative rock, modern rock, post-grunge",60,632264
Sir Chloe,"indie pop, pov: indie",63,813550
League of Legends,"speedrun, video game music",78,1908296
Os Paralamas Do Sucesso,"brazilian rock, latin alternative, latin rock, mpb, rock nacional brasileiro",65,2338019
Crystal Castles,"alternative dance, bitpop, digital hardcore, indietronica, neo-synthpop, new rave, nintendocore",72,2728482
Metric,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop",64,853248
