nome_musica,nome_artista,nome_album,popularidade,id_musica,dançabilidade,energia,valência,tempo,vocalidade
Go With The Flow,Queens of the Stone Age,Songs For The Deaf,66,0wzRcekWyVCSyPtlPOeJau,0.246,0.991,0.415,159.39,0.867
Happy Idiot,TV On The Radio,Seeds,59,63mnZ0zF5fBwJzYg2pDo9e,0.617,0.948,0.863,139.996,0.0755
Animal I Have Become,Three Days Grace,One-X,77,56sk7jBpZV0CD31G9hEU3b,0.553,0.853,0.506,122.023,0.126
Phantom,Vestron Vulture,Shades of Violet,59,7vvultYHYCuFk0AJWa5c9O,0.666,0.777,0.658,160.004,0.106
Neon Roses,The Technicolors,Metaphysical,48,0s1PsjRpN9v3gveUOM6Iux,0.192,0.879,0.387,185.821,0.451
Lazy Eye,Silversun Pickups,Carnavas,60,1aDLUzCyYpRXgrjwUWzV2X,0.633,0.831,0.243,127.397,0.117
Thought Contagion,Muse,Simulation Theory (Super Deluxe),54,57lCa95tmjJ8EYdNTex8Kk,0.48,0.76,0.378,139.985,0.0809
We Are The People - southstar Remix,Empire Of The Sun,We Are The People (southstar Remix),68,4atLPkcljMp14JBaigYFKC,0.72,0.847,0.132,149.954,0.104
Open Your Eyes,Snow Patrol,Eyes Open,62,5HPj0yTUFEFNia8SWgjq46,0.525,0.784,0.0621,130.962,0.1
Now That You're Gone,The Raconteurs,Help Us Stranger (With Track-by-Track Commentary),35,7AYEHXXUs2i4JoDp3mgP8I,0.377,0.453,0.473,199.965,0.121
When You Were Young,The Killers,Sam's Town,75,70wYA8oYHoMzhRRkARoMhU,0.467,0.988,0.321,130.433,0.28
Age of Anxiety I,Arcade Fire,WE,44,76365icROsgrLvYVImAnyP,0.355,0.41,0.225,124.65,0.174
Electric Blue,Arcade Fire,Electric Blue,23,6vDZRpqAVkwm2PDO2lEWEQ,0.663,0.774,0.681,102.982,0.462
The Longest Wave,Red Hot Chili Peppers,The Getaway,56,0pjCkLjbgSLn5c0Ilwuv8z,0.476,0.511,0.339,148.158,0.119
Starlight,Muse,Black Holes and Revelations,72,3skn2lauGk7Dx6bVIt5DVj,0.55,0.874,0.318,121.61,0.206
Afterlife,Arcade Fire,Reflektor,52,7rL602DQps4QmrrjbinLzP,0.64,0.868,0.798,115.968,0.242
Paralyzer,Finger Eleven,Them Vs. You Vs. Me (Deluxe Edition),74,28IEbk5a7twNTbUEvWslUb,0.644,0.939,0.861,106.031,0.233
Welcome Home,Radical Face,Touch the Sky (Welcome Home) - EP,56,1oofwLaSk4kDIWAYT5ZGK7,0.598,0.488,0.396,144.977,0.0945
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),80,3d9DChrdc6BOeFsbrZ3Is0,0.559,0.345,0.458,84.581,0.141
Emperor's New Clothes,Panic! At The Disco,Death of a Bachelor,65,3px2rAPu74ltbkf9eZsZ8h,0.562,0.904,0.651,94.481,0.0433
Preju,EMY,Preju,66,7gdgtul6Duxe04E6sq0nxx,0.61,0.863,0.707,160.127,0.382
Midnight City,M83,"Hurry up, We're Dreaming",77,6GyFP1nfCDB8lbD2bG0Hq9,0.507,0.729,0.272,105.013,0.0658
High Enough,K.Flay,Every Where Is Some Where,61,1D9HQactbJoUudf9B119Y5,0.368,0.619,0.51,89.013,0.167
An End Has a Start,Editors,An End Has a Start,48,5jth1c4wa4BythOzap3qOU,0.351,0.92,0.521,149.914,0.338
So Young,Portugal. The Man,Woodstock,62,4SNtyKNyYJ8ERT7YLlnFBr,0.671,0.445,0.811,75.996,0.155
Supermassive Black Hole,Muse,Black Holes and Revelations,77,3lPr8ghNDBLc2uZovNyLs9,0.668,0.921,0.782,120.0,0.0877
Careful You,TV On The Radio,Seeds,44,7DjtLnZKMipNZDt6SE9iEq,0.604,0.845,0.421,160.022,0.0759
Hysteria,Muse,Absolution,7,7xyYsOvq5Ec3P4fr6mM9fD,0.412,0.92,0.455,93.162,0.11
Fantastic,Blame My Youth,Dance With My Demons EP,8,1T1qMq3NjVCkYTH3XRON4v,0.448,0.885,0.344,168.244,0.949
Washing Machine Heart,Mitski,Be the Cowboy,81,3jjsRKEsF42ccXf8kWR3nu,0.613,0.822,0.567,105.997,0.429
Duvet,bôa,Twilight,83,42qNWdLKCI41S4uzfamhFM,0.583,0.888,0.706,93.206,0.0936
Monsters,Seafret,Most of Us Are Strangers,35,4iSpNdF5QpTxLXtcPJYbSr,0.627,0.766,0.367,90.001,0.151
Multi-Love,Unknown Mortal Orchestra,Multi-Love,55,1XKAeevAbxSSMuTcRT0APS,0.784,0.506,0.544,120.139,0.139
Psychosocial,Slipknot,All Hope Is Gone (10th Anniversary),76,3RAFcUBrCNaboRXoP3S5t1,0.568,0.981,0.307,135.146,0.0243
My Own Summer (Shove It),Deftones,Around the Fur,77,1158ckiB5S4cpsdYHDB9IF,0.443,0.781,0.372,71.841,0.166
Duality,Slipknot,Vol. 3: The Subliminal Verses,79,61mWefnWQOLf90gepjOCb3,0.354,0.982,0.194,143.772,0.204
Misery,Michigander,Misery,49,6Zz846CtUmQGP5z4F7sccA,0.343,0.732,0.392,180.162,0.0685
redesign,awfultune,redesign,50,6L1V0LvpXBJ7QptKuLUj3v,0.795,0.507,0.784,120.009,0.116
Figure It Out,Royal Blood,Royal Blood,63,3MjrueDQKVr6xDDseZwhEd,0.658,0.814,0.691,108.018,0.216
Devil Town,Cavetown,Cavetown,72,0vf2eBw2inhl8y61cYQMv2,0.576,0.759,0.501,99.969,0.121
Pumped Up Kicks,Foster The People,Torches,84,7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,0.965,127.975,0.0956
down bad,Yot Club,off the grid,52,0vjpfpch27QUf1cUs4seDl,0.476,0.848,0.369,186.642,0.0903
BURN IT DOWN,Linkin Park,LIVING THINGS,77,7oVEtyuv9NBmnytsCIsY5I,0.585,0.972,0.585,110.006,0.0707
Undisclosed Desires,Muse,The Resistance,65,0It6VJoMAare1zdV2wxqZq,0.683,0.585,0.641,115.997,0.0797
Neon Rust,Frank Carter & The Rattlesnakes,Modern Ruin,34,5OCH598greI36cfms3c0h5,0.356,0.519,0.195,137.454,0.168
Take on Me,a-ha,Hunting High and Low,85,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,0.876,84.412,0.0928
The Kids Aren't Alright,The Offspring,Americana,81,4EchqUKQ3qAQuRNKmeIpnf,0.523,0.943,0.766,99.607,0.0579
Wanna Don't Wanna,Reignwolf,Hear Me Out,49,2oHVOT0JHfD5YXYDklofjI,0.236,0.971,0.522,150.611,0.122
My Honest Face,Inhaler,It Won't Always Be Like This,57,3xKsGYkJKy0bbQuUHRYrei,0.419,0.969,0.51,159.989,0.0927
Suddenly I See,KT Tunstall,Eye To The Telescope,75,5p9XWUdvbUzmPCukOmwoU3,0.587,0.767,0.664,100.38,0.112
